Fri. Mar.  1, 2013             LANDSAT 5                 Time: 02:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6294622            Path/Row: 181 / 033

L0R Reference Image: L51XXX1090219080100_HDF.130600820
Acquisition Date: Aug 07, 1990

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   033   2000-06-07


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810330213   39.268579   27.498124   420.484      -3.143    -3.878    -2.360    -4.392
1810330214   39.044082   26.612194    47.331      -1.155     0.143    -1.161    -0.076
1810330216   39.319244   26.690724    44.423       0.146     4.674    -0.729     4.617
1810330217   38.977317   26.851188   604.282      -2.317     0.350    -2.339    -0.089
1810330218   39.223980   27.610762   239.442       1.518    -4.383     2.310    -4.019
1810330219   38.540313   25.559517    53.155      -0.303     1.520    -0.584     1.436
1810330220   39.563633   27.301511   650.561      -3.912    -1.025    -3.646    -1.734
1810330221   38.190870   27.123445   122.692      -0.354     3.879    -1.072     3.743
1810330222   38.249162   26.104231    51.305      -2.385     0.155    -2.372    -0.294
1810330223   39.131805   26.210472    49.946       3.881     4.119     3.041     4.769
1810330224   39.039362   26.507534    48.766      -1.309    -2.296    -0.857    -2.499
1810330225   39.487503   27.070586   399.526      -4.897     2.528    -5.278     1.568
1810330226   38.952474   27.124409   255.395       0.111     3.217    -0.491     3.179
1810330227   38.330232   26.578615   206.965      -0.614    -2.362    -0.160    -2.434
1810330230   39.233954   26.961185   588.519      -4.554    -2.418    -4.017    -3.222
1810330231   38.390698   26.428145    44.000       0.538     4.511    -0.316     4.531
1810330232   39.537668   27.772694   396.850       2.146    -4.144     2.880    -3.667
1810330233   39.323434   26.167254    47.498       1.673     1.336     1.393     1.624
1810330235   38.632145   26.915669    49.361      -0.584    -0.008    -0.571    -0.117
1810330236   39.472036   27.842769   408.639       1.011     5.551    -0.040     5.638
1810330237   39.087358   26.369490   512.799       0.882    -3.759     1.567    -3.525
1810330238   38.296155   27.230321   263.999       3.409     2.891     2.806     3.477
1810330239   39.601064   26.752371   294.056       1.885    -4.881     2.760    -4.440
1810330240   38.358427   27.181073   212.361       0.785     7.045    -0.546     7.064
1810330241   39.027324   27.294367   362.973       0.122    -5.868     1.216    -5.737
1810330243   39.023742   27.198353   227.919       0.863    -2.801     1.372    -2.588
1810330244   39.138921   26.525933    53.761      -0.348    -3.567     0.325    -3.568
1810330245   39.498585   27.834716   424.767       4.017     1.156     3.729     1.885
1810330247   38.406354   27.126903   152.207       3.771    -6.396     4.900    -5.572
1810330248   38.541084   27.242460   778.101       1.583     1.648     1.246     1.914
1810330249   39.088765   26.432957    81.972       2.013    -5.121     2.933    -4.654
1810330250   38.316485   25.942116    49.442      -0.881     4.437    -1.697     4.192
1810330251   39.561004   27.104536    86.114      -3.034     0.380    -3.050    -0.193
